user_login,is_person
parksb,True
bgw,True
daniel-liuzzi,True
stepanvanzuriak,True
abranhe,True
Tyriar,True
ineeve,True
NadiaCarvalho,True
rpedro10,True
cyrilico,True
3rdvision,True
dcalhoun,True
chillininvt,True
MortadaAK,True
EdgarACarneiro,True
antonioalmeida,True
kih1024,False
baukevanderlaan,True
AndreFCruz,True
Xapphire13,True
theRemix,True
tbodt,True
KevinRizzoTO,True
kjswalls,True
derrickpelletier,True
spejamchr,True
Flaque,True
KunalKene1797,True
UltCombo,True
oswaldoacauan,True
PeterDaveHello,True
matmerr,True
siimorasmae,True
AndyBitz,True
hendrysadrak,True
stefanmiodrag,True
Cygnusfear,True
fernahh,True
PerStirpes,False
asantos00,True
rauchg,True
minachuong,True
mojoaxel,True
richsilv,True
wilsontayar,True
donghaoren,True
arojunior,True
louislva,True
okonek,True
awarmfastbear,True
nesl247,True
bosconian-dynamics,True
asthas,True
rickycodes,False
terry-pan-dev,True
jeremenichelli,True
cerebrate,True
nitsakh,True
tschoffelen,True
tzilist,True
tibotiber,True
casesandberg,False
allanchau,True
mihaliak,True
bbshih,True
Specro,True
stephencookdev,True
paolorotolo,True
MartyGentillon,True
paulbouwer,True
leovafme,True
piotr-yuxuan,False
gordon2012,True
mfix22,True
kvakulo,True
zsol,True
leolaurentius,True
thephilip,False
berkin,False
Erazihel,True
roolebo,True
henrikdahl,True
air,True
stefanivic,True
j1n6,True
skeate,True
kwonoj,True
gsklee,True
martinvd,True
flexiondotorg,True
aoki,False
felixrieseberg,True
grahamkennery,True
miguelcg,True
kandros,True
L-A,True
chantisnake,False
anaisbetts,True
ryzokuken,True
nw,True
micopc,True
AlmirKadric,True
jmcmellen,True
alexfedoseev,True
dotcypress,True
supersam654,True
timneutkens,True
evanxd,True
KevinRamsunder,True
mqudsi,True
nbolten,True
knewter,True
IanMitchell,True
jongalloway,True
paulschreiber,True
spirosikmd,True
zuice,True
sterdev,False
greenkeeperio-bot,False
breber,True
Snack-X,False
vaporwavie,True
dkniffin,True
zbuttram,True
vors,True
levrik,True
CWSpear,True
flyngate,True
oliverdunk,True
mike-engel,True
davegomez,True
iamstarkov,True
weslleyaraujo,True
dmk,True
shama,True
parro-it,True
davidbarsky,True
MrRio,True
vitorgalvao,True
colepeters,False
ekmartin,True
shime,True
fearphage,True
c0b41,True
kennethpdev,True
flybayer,True
DaleLJefferson,True
maxdeviant,True
patrik-piskay,True
nicksrandall,True
rbelouin,True
BenoitAverty,True
bildepunkt,True
capaj,True
Rowno,True
trevordmiller,True
aurelienbottazini,True
TooTallNate,True
BrianDGLS,True
Zearin,True
mathisonian,True
vinkla,True
rjsteinert,True
jwhitmarsh,True
dparnell,True
just-boris,True
efegurkan,True
lordgiotto,True
lkzhao,True
krzkaczor,True
adamstac,True
zhaorz,True
7373Lacym,True
mauro-oto,True
marcbachmann,True
italoacasas,True
junewunder,True
stephenkingsley,False
sheerun,True
cuth,True
NickChristensen,True
jamo,True
amilajack,True
arnif,True
rssilva,True
rpunkfu,True
blakeembrey,True
keyboard-clacker,True
danprince,True
itswil,True
mxstbr,True
mfpierre,True
kirb,True
z11h,False
szhu,True
nfcampos,True
tamagokun,True
developit,True
conorhastings,True
thomaslindstrom,True
bekher,True
teemuteemu,True
fand,True
Haroenv,True
mawie81,True
necolas,True
sindresorhus,False
tomru,True
montogeek,True
CompuIves,True
eljefedelrodeodeljefe,True
okabsd,True
code-haven,True
hoonyland,True
Calinou,True
olegafx,True
amio,True
radarhere,True
diogobeda,True
akashnimare,True
alireza-ahmadi,True
